NAMES,SMILES,VALUE
C0505_A0033,CCCC[n+]1ccn(C)c1.[Cl-],254
C0505_A0069,CCCC[n+]1ccn(C)c1.[I-],265
C0505_A0020,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,424
C0505_A0008,CCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,238
C0505_A0043,CCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,309
C0505_A0048,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,425
C0505_A0028,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,320
C0505_A0144,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])c1ccc2c(c1)OCCOCCOCCOCCO2,267
C0505_A0011,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,390
C0505_A0031,CCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1,280
C0267_A0028,CC(C)C[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,295
C0782_A0028,CCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,295
C1348_A0043,COCCOCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,293
C1348_A0008,COCCOCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,238
C0190_A0033,CCCCCC[n+]1ccn(C)c1.[Cl-],253
C0190_A0020,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,409
C0190_A0043,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,306
