NAMES,SMILES,TEMPERATURE,PRESSURE,VALUE
C1119_A0200,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CNCC(=O)[O-],343,0.1,1.69
C1119_A0260,CC(C)[C@H](N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,283,0.1,3.18
C1119_A0260,CC(C)[C@H](N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,293,0.1,2.88
C1119_A0260,CC(C)[C@H](N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,298,0.1,2.74
C1119_A0260,CC(C)[C@H](N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,303,0.1,2.6
C1119_A0260,CC(C)[C@H](N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,313,0.1,2.36
C1119_A0260,CC(C)[C@H](N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,323,0.1,2.18
C1119_A0260,CC(C)[C@H](N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,333,0.1,1.99
C1119_A0260,CC(C)[C@H](N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,343,0.1,1.83
C1119_A0289,CC(C)CC(N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,283,0.1,3.18
C1119_A0289,CC(C)CC(N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,293,0.1,2.88
C1119_A0289,CC(C)CC(N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,298,0.1,2.75
C1119_A0289,CC(C)CC(N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,303,0.1,2.62
C1119_A0289,CC(C)CC(N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,313,0.1,2.4
C1119_A0289,CC(C)CC(N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,323,0.1,2.18
C1119_A0289,CC(C)CC(N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,333,0.1,2
C1119_A0289,CC(C)CC(N)C(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,343,0.1,1.82
C1119_A0193,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC[C@H](C)[C@H](N)C(=O)[O-],283,0.1,3.04
C1119_A0193,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC[C@H](C)[C@H](N)C(=O)[O-],293,0.1,2.77
C1119_A0193,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC[C@H](C)[C@H](N)C(=O)[O-],298,0.1,2.63
C1119_A0193,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC[C@H](C)[C@H](N)C(=O)[O-],303,0.1,2.52
C1119_A0193,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC[C@H](C)[C@H](N)C(=O)[O-],313,0.1,2.28
C1119_A0193,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC[C@H](C)[C@H](N)C(=O)[O-],323,0.1,2.08
C1119_A0193,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC[C@H](C)[C@H](N)C(=O)[O-],333,0.1,1.91
C1119_A0193,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC[C@H](C)[C@H](N)C(=O)[O-],343,0.1,1.74
C0290_A0067,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,293,0.1,2.38
C0290_A0067,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,303,0.1,2.13
C0290_A0067,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,313,0.1,1.91
C0290_A0067,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,323,0.1,1.71
C0290_A0067,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,333,0.1,1.54
C0290_A0067,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,343,0.1,1.39
