NAMES,SMILES,VALUE
C0577_A0048,Cn1cc[n+](CCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,37
C0577_A0011,Cn1cc[n+](CCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,103
C0895_A0011,CCCCCCCOC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,38
C0496_A0011,CCCCOC[n+]1ccn(COCCC)c1.F[P-](F)(F)(F)(F)F,48
C0509_A0011,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,14
C0242_A0030,CCCCCCCC[n+]1ccn(CC)c1.Cc1ccc(S(=O)(=O)[O-])cc1,70
C1108_A0048,Cn1cc[n+](CCCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,48
C1108_A0011,Cn1cc[n+](CCCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,52
C0038_A0011,CCCCOCn1cc[n+](COCCCC)c1.F[P-](F)(F)(F)(F)F,57
C0280_A0011,CCCCCCCC[n+]1ccn(CCC)c1.F[P-](F)(F)(F)(F)F,-30
C0515_A0033,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],38
C0515_A0048,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2
C0515_A0030,CCCCCCCCCC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,79
C0515_A0011,CCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,32
C0241_A0020,CCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,21
C0723_A0033,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],97
C0723_A0004,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],-5
C0723_A0020,CCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,34
C0723_A0048,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,17
C0723_A0084,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,40
C0723_A0011,CCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,60
C0658_A0020,CCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,49
C0665_A0033,CCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],19
C0665_A0004,CCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],54
C0665_A0020,CCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,38
C0665_A0048,CCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,34
C0665_A0084,CCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,50
C0665_A0011,CCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,73
C0059_A0020,CCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,55
C0976_A0033,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],42
C0976_A0004,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],40
C0976_A0020,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,46
C0976_A0048,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,42
C0976_A0084,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,58
C0976_A0011,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,75
C0081_A0033,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],53
C0081_A0020,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,67
C0081_A0048,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,45
C0081_A0084,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,66
C0081_A0011,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,80
C0130_A0004,CCCCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],60
C0495_A0033,COC[n+]1ccn(C)c1.[Cl-],17
C0495_A0008,COC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,17
C0495_A0043,COC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,-21
C0288_A0069,C[n+]1ccn(C(F)(F)C(F)F)c1.[I-],141
C0288_A0020,C[n+]1ccn(C(F)(F)C(F)F)c1.F[B-](F)(F)F,64
C0288_A0048,C[n+]1ccn(C(F)(F)C(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,42
C1107_A0069,CC[n+]1ccn(C(F)(F)C(F)F)c1.[I-],91
C1107_A0020,CC[n+]1ccn(C(F)(F)C(F)F)c1.F[B-](F)(F)F,25
C1107_A0048,CC[n+]1ccn(C(F)(F)C(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,16
C0431_A0069,CCC[n+]1ccn(C(F)(F)C(F)F)c1.[I-],78
C0856_A0069,CCCC[n+]1ccn(C(F)(F)C(F)F)c1.[I-],74
C0399_A0048,CCOC(=O)[C@@H](C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,45
C0399_A0084,CCOC(=O)[C@@H](C)[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,73
C0987_A0020,CCCCCCCCOCn1cc[n+](COCCCCCCCC)c1.F[B-](F)(F)F,54
C0627_A0020,CCCCCCCCCOCn1cc[n+](COCCCCCCCCC)c1.F[B-](F)(F)F,57
C0073_A0020,CCCCCCCCCCOCn1cc[n+](COCCCCCCCCCC)c1.F[B-](F)(F)F,69
C1018_A0020,CCCCCCCCCCCOCn1cc[n+](COCCCCCCCCCCC)c1.F[B-](F)(F)F,71
